,sex,pop,GOL,XCB,ZYB,BBH,BNL,BPL,NPH,NLH,NLB,OBH,popsex
214,M,C,188,145,129,134,97,92,65,47,27,35,CM
215,M,C,184,139,127.0956902,128,102,98.09878668,65.89380186,49.69410184,25.98176392,34,CM
216,M,C,186,139,138,134,101,103.2304992,62.21806709,45,28,33,CM
217,M,C,174,126,119.00944,125,91,93.67666947,60.57753807,44,28,31,CM
218,M,C,183.3494965,136.1123985,131,131.0465285,97,96.38606163,65.42527431,48,26,34.30433958,CM
219,M,C,193,142,132,140,103,105,63,46,25,32,CM
220,M,C,192,135,127.8503975,138,104,108,62,43,28,31,CM
221,M,C,173,133,120,132,93,91,52,41,28,31,CM
222,M,C,191,135,127,141,103,102.1497272,67.26801864,48,29,34,CM
223,M,C,182,137,128,132,99,95.49021404,66.73683185,49.65533591,26.73299002,38,CM
224,M,C,184,132,126.2367249,135,97,96,71,50,27,37,CM
225,M,C,181,122,124.3767461,139,102,101.2235675,65.10310868,47,28,31,CM
226,M,C,176.9818892,127.383553,122,123.2766057,95,106,63,47,24,34,CM
227,M,C,188.0281871,134.8758681,131,133.7771682,102,102.2512462,65.66154825,48,28,31,CM
228,M,C,194,147,134,138,103,98.26134106,69.86903854,52,25,33,CM
369,M,C,188.9854539,133,131,133,107,115,61,42,27,29,CM
370,M,C,174,126,114.1195629,124,88,90,53,40,23,33,CM
371,M,C,184.5991715,133,123,131,96,93,59,46,27,32,CM
372,M,C,181,135,124,130,96,92,60,47,26.03132999,32,CM
373,M,C,179,136,126.4447092,128,102,100,63,49,27,35,CM
375,M,C,185,135,127,135,103,101.6814547,63.83291198,46,27,33,CM
376,M,C,179.8922608,119,125,135,102,100,61,45,24,35,CM
377,M,C,193,124,134,139,108,104,76,51,30,34,CM
378,M,C,188,140,128,130,102,101,72,53,28,38,CM
379,M,C,196,145,141,137,107,111,75,55,27,36,CM
381,M,C,181.0077661,130.8814046,124.9215576,128.059417,98,98,62,46,25,35,CM
382,M,C,186,131,125,137,102,98,62,47,26,29,CM
383,M,C,185,132,128,126,98,92,70,49,24.43026116,31,CM
384,M,C,195,137,137,137,105,110,64,43,29,34,CM
385,M,C,188,139,124,128,90,94,62,43,24,37,CM
386,M,C,181,129,133,127,100,97.71422617,65.85176943,49,22,34,CM
387,M,C,187,141,132,129,95,95.85684297,66.05046063,48,26,33,CM
389,M,C,184,132,127.8114275,117,101,104.8732671,63.15837933,49,33,30,CM
390,M,C,170.7505442,126.7212647,109,123.2839183,91,85,64,47,22,37,CM
391,M,C,183,130,125.447879,133,100,99,60,46,25,37,CM
392,M,C,182,128,121.1149409,130,92,91,71,51,24,36,CM
393,M,C,179,125,118.5058425,129,100,98,55,41,25,34,CM
394,M,C,186,128,130,125,98,98,69,51,23,32,CM
395,M,C,180,135,126,129,98,91,58,46,27,34,CM
396,M,C,184,130,124,131,98,98,62,46,25,32,CM
398,M,C,175,131,129,130,100,99,63,48,25,36,CM
399,M,C,183,131,132,124,99,98.80041008,67.33608495,50,26,35,CM
400,M,C,187,129,129,130,107,105,68,51,28,31,CM
401,M,C,191,133,118,139,106,99,65,50,23,35,CM
402,M,C,188,131,135,124,94,91,62,47,27,36,CM
403,M,C,186,134,126,128,98,93,63,53,27,36,CM
406,M,C,179,133,126,125,94,85,68,50,26,35,CM
407,M,C,175,142,126.0533758,136,98,100,70,50,26,36,CM
408,M,C,190,143,130,131,103,91,77,57,24,35,CM
409,M,C,186,139,129.5936214,134,101,100,64,49,28,34,CM
410,M,C,179,132,123,131,96,90,61,45,28,34,CM
411,M,C,185,133,130,130,101,93,63,48,29,35,CM
412,M,C,180,133,125.3107719,128,105,99,67,48,27,38,CM
414,M,C,181,138,125,132,101,103,65,48,28,32,CM
415,M,C,174,130,120.0865122,126,96,88,63,49,27,35,CM
416,M,C,180,134,125,126,93,96.03888282,59.70535511,43,29,32,CM
417,M,C,173,132,119,126,90,90.40778355,60.72646937,44,28,35,CM
418,M,C,188,137,131.0246611,127,106,103.9689983,67.65030748,51,29,33,CM
419,M,C,189,126,119,130,101,94,65,51,25,35,CM
420,M,C,186,139,138,134,101,103.2194175,62.25966919,45,28,33,CM
422,M,C,174,126,119.1451246,125,91,93.64659757,60.4733286,44,28,31,CM
423,M,C,193,142,132,140,103,105,63,46,25,32,CM
424,M,C,192,135,127.8110608,138,104,108,62,43,28,31,CM
425,M,C,173,133,120,132,93,91,52,41,28,31,CM
426,M,C,184,132,126.3689458,135,97,96,71,50,27,37,CM
427,M,C,181,122,124.4135164,139,102,101.2090107,65.06347054,47,28,31,CM
429,M,C,176.9817258,127.3965022,122,123.2712332,95,106,63,47,24,34,CM
430,M,C,194,147,134,138,103,98.21450226,69.86186638,52,25,33,CM
488,M,Hwhite,182,151,14,138,104,105,73,5,27,3,HwhiteM
489,M,Hwhite,175,144,131,138,107,104,66,48,26,31,HwhiteM
490,M,Hwhite,185,145,132,133,106,103,65,49,26,3,HwhiteM
491,M,Hwhite,174,148,136,135,99,101,74,54,23,33,HwhiteM
492,M,Hwhite,188,143,13,131,102,101,69,51,23,32,HwhiteM
493,M,Hwhite,192,145,137,128,104,101,76,58,27,34,HwhiteM
494,M,Hwhite,178,135,133,126,99,10,7,51,26,29,HwhiteM
495,M,Hwhite,192,146,137,133,108,10,77,56,27,34,HwhiteM
496,M,Hwhite,187,135,128,133,103,99,72,53,25,35,HwhiteM
497,M,Hwhite,181,152,138,134,98,99,72,53,27,29,HwhiteM
498,M,Hwhite,188,136,135,139,101,98,72,52,24,33,HwhiteM
