,sex,pop,GOL,XCB,ZYB,BBH,BNL,BPL,NPH,NLH,NLB,OBH,popsex
358,F,Hwhite,178,144,125,127,95,89,64,49,27,34,HwhiteF
359,F,Hwhite,16,136,124,131,92,87,66,49,24,33,HwhiteF
360,F,Hwhite,166,13,119,127,95,84,58,45,22,29,HwhiteF
361,F,Hwhite,159,131,119,112,9,84,65,48,24,34,HwhiteF
362,F,Hwhite,174,127,116,12,95,0,0,0,0,29,HwhiteF
363,F,Hwhite,192,148,129,134,105,96,0,5,0,31,HwhiteF
364,F,Hwhite,178,134,117,124,97,95,7,51,26,36,HwhiteF
365,F,Hwhite,186,13,122,127,98,95,6,45,24,33,HwhiteF
366,F,Hwhite,185,138,117,121,98,95,68,47,21,34,HwhiteF
367,F,Hwhite,179,132,121,134,101,95,68,51,21,33,HwhiteF
368,F,Hwhite,181,131,119,121,101,95,71,53,24,35,HwhiteF
369,F,Hwhite,181,128,116,121,99,94,69,5,24,35,HwhiteF
370,F,Hwhite,18,128,119,122,10,94,57,48,25,33,HwhiteF
371,F,Hwhite,191,135,115,127,96,94,66,45,26,31,HwhiteF
372,F,Hwhite,177,132,12,126,98,94,75,52,27,34,HwhiteF
373,F,Hwhite,184,142,126,126,10,94,69,53,22,34,HwhiteF
374,F,Hwhite,191,133,121,13,101,93,75,54,24,33,HwhiteF
375,F,Hwhite,186,14,121,121,93,93,64,46,25,33,HwhiteF
376,F,Hwhite,175,139,126,125,97,93,63,49,22,33,HwhiteF
377,F,Hwhite,186,142,127,133,98,92,68,5,22,33,HwhiteF
378,F,Hwhite,174,127,12,124,98,91,7,5,21,34,HwhiteF
379,F,Hwhite,187,127,12,122,95,91,72,51,23,35,HwhiteF
380,F,Hwhite,181,137,133,132,99,91,63,5,24,34,HwhiteF
381,F,Hwhite,171,136,112,127,92,9,67,47,22,31,HwhiteF
382,F,Hwhite,164,128,109,116,93,89,56,45,21,33,HwhiteF
383,F,Hwhite,182,14,115,125,94,86,69,48,23,34,HwhiteF
384,F,Hwhite,182,143,125,125,92,85,68,51,2,33,HwhiteF
385,F,Hwhite,189,144,124,133,93,85,67,49,24,33,HwhiteF
386,F,Hwhite,171,135,117,116,91,84,63,47,21,34,HwhiteF
387,F,Hwhite,171,134,119,119,89,83,7,5,23,35,HwhiteF
388,F,Hwhite,163,126,116,116,88,82,56,42,2,31,HwhiteF
389,F,Hwhite,182,13,129,127,101,0,0,46,25,33,HwhiteF
390,F,Hwhite,173,136,124,131,96,0,0,52,21,36,HwhiteF
391,F,Hwhite,183,136,122,127,103,0,0,0,0,34,HwhiteF
392,F,Hwhite,175,132,118,121,93,0,0,0,0,36,HwhiteF
1,F,San,171,129,123,120,94,98,55,40,24,29,SF
2,F,San,174,133,119,124,88,88,60,42,23,32,SF
3,F,San,165,128,112.4314158,125,92,86,59,41,23,33,SF
4,F,San,188,126,123.1025713,128.5143546,101.0315855,100.4711722,62.90475892,47.02747524,28,31.88997635,SF
5,F,San,174,137,119.3559406,118,91,88,61,45,27,30,SF
6,F,San,181,127,121,120,100,98,63,46,27,34,SF
7,F,San,180,130.5,123,131,93,89,60,43,25,28,SF
8,F,San,175,127,114,120,98,100,63,42,24,28,SF
9,F,San,176,140,125.9658799,129.1598951,95.1596069,95.03729112,61.97007295,46.04688325,29,32.1107394,SF
10,F,San,178,144,133,126,101,105,65,46,26,31,SF
11,F,San,172,131,116.5,121,91,94,56,40,25,32,SF
