psraid,state,density,cregion,usr,q1,q2,q3,q5,q7a,q7b,q7c,q7d,q9,q10,q15a,q15b,q15c,q15d,q15e,q16a,q16b,q16c,q16d,q16e,q20,q21,q22,q23,q24,q24oe_1,q24oe_2,q24oe_3,q25,q26,q27,q33,q34,q40,q46m1,q46m2,q47m1,q47m2,q47m3,q47m4,q47m5,q47m6,q47m7,q48,q49,q50,q51,q52,q55,q55af1,q55bf1,q55cf1,q55df1,q55ff2,q55gf2,q55hf2,q55if2,q58a,q58b,q61f1,q63f2,q64,q66,party,partyln,q68,q69,q70,q71a,q71b,q71c,q71d,q71e,q71f,q71g,q73,q74,q74a,q74a_OE1,q74a_OE2,q74a_OE3,q75,q76,q77,q78,q79a,q79b,q79c,q79d,q79e,sex,age,educ2,hisp,race3m1,race3m2,race3m3,race3m4,birthhisp,chr,relig,born,attend,income,reg,ideo,teapart2,pvote12a,pvote12b,q83,hh1,hh3,lc3,money2,q24vb,q70os,q74avb
100192,48,3,3,S,2,2,1,2,3,3,2,3,2,4,2,1,1,1,1,1,1,2,1,1,1,1,9,1,,,,,2,9,2,3,1,2,1,5,4,,,,,,,,2,2,2,2,1,1,2,2,1,,,,,2,2,1,,9,2,3,1,2,,20,2,2,1,2,2,3,2,2,2,1,2,1,,3,,9,2,3,1,1,3,2,2,64,7,2,1,,,,,,2,2,4,9,1,3,1,1,2,1,2,2,3,,,TOM COTTON,"GAY MARRIAGE, ABORTION ISSUES."
100194,55,2,2,U,2,9,1,2,3,3,3,3,2,4,9,1,2,1,2,2,2,2,1,1,1,1,1,1,,,,,1,,2,4,1,1,2,1,5,,,,,,,1,2,2,2,2,1,2,2,2,3,,,,,1,2,2,,1,3,3,2,,1,,,,,,,,,,,,,,,,3,,,,,,,,1,66,2,2,1,,,,,,1,2,4,5,1,3,2,1,1,2,2,2,,,,,
100195,28,1,3,R,2,2,1,2,4,3,8,3,2,2,1,2,2,2,2,1,2,1,2,1,3,2,2,2,1,3,,,2,2,1,3,3,2,4,1,4,,,,,,,2,2,1,2,1,1,2,2,2,2,,,,,1,1,2,,1,1,2,,,2,,,,,,,,,,,,,,,,1,,,,,,,,2,83,3,2,1,,,,,,1,1,4,10,1,2,3,1,1,1,1,,,,TO FIND OUT MORE ABOUT PEOPLE AND WHAT THEY ARE DOING.,,
100196,21,1,3,R,2,2,1,2,3,4,2,4,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,8,4,,2,2,2,4,3,2,1,2,7,1,,,,,,2,2,1,1,1,1,,,,,3,1,3,1,1,2,,1,2,2,3,1,1,,5,3,2,2,1,8,1,2,1,2,1,3,,,3,,1,1,3,1,1,1,3,2,48,3,2,1,,,,,,12,,5,1,1,3,3,1,3,2,1,,,,"SEE WHAT PEOPLE ARE DOING, ILLEGAL, JUST TO BE NOSY",,IMMIGRATION
100198,13,1,3,R,2,1,2,1,4,1,4,1,2,2,1,1,1,2,2,2,1,1,2,2,3,1,1,2,9,99,,,1,,1,2,1,4,1,,4,7,,,,,,2,2,2,1,1,1,2,2,1,1,,,,,2,1,2,,2,1,1,,2,,99,5,1,5,1,5,5,5,2,1,,,,,3,,1,1,2,3,1,1,2,2,42,3,1,2,,,,3,,1,1,3,3,1,1,3,1,1,3,2,2,2,,,,
100199,34,4,1,S,2,2,2,2,2,3,8,8,1,9,1,1,1,1,2,1,2,9,9,2,2,1,1,1,,,,,2,2,2,3,1,9,2,,,,,,,,,2,2,1,1,1,1,,,,,1,1,2,1,1,2,,1,1,9,3,2,,1,,,,,,,,,,,,,,,,3,,,,,,,,2,99,3,2,1,,,,,,2,2,2,10,1,2,3,1,9,1,1,,,,,,
100203,36,1,1,S,1,1,9,9,9,9,2,9,2,9,9,9,1,1,1,9,1,1,1,1,2,1,9,9,,,,,9,,9,9,1,2,1,,3,5,6,,,,,2,9,9,1,9,1,1,9,1,1,,,,,9,9,2,,9,1,2,,,2,,,,,,,,,,,,,,,,9,,,,,,,,2,81,3,2,1,,,,,,2,2,2,2,1,4,3,1,1,9,1,,,,,,
100207,42,3,1,S,1,1,1,2,2,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,99,,,2,9,1,3,3,1,1,2,9,,,,,,,2,1,2,1,2,1,,,,,1,1,1,3,1,1,,1,9,1,3,2,,2,,,,,,,,,,,,,,,,2,,,,,,,,2,70,4,2,1,,,,,,2,9,1,2,2,2,3,,,,1,,,,"YOU NEVER KNOW. I THINK YOUR COMPUTER SHOULD BE PRIVATE, APPARENTLY IT IS NOT ANYMORE. AND THE SAME WITH YOUR PHONE CALL.",,
100214,55,2,2,S,2,1,9,2,4,2,2,3,3,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,4,,,9,,1,2,1,1,2,3,,,,,,,,1,2,2,2,2,1,2,2,1,1,,,,,1,1,2,,2,1,2,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2,59,6,2,1,,,,,,14,,4,7,1,3,2,1,1,1,2,2,3,,"I THINK THAT THEY ARE STICKING THEIR NOSE WHERE THEY DONT BELONG , CREATING  DISTRUST AND SUSPISCION AND FEAR IN THIS COUNTRY CREATING ISOLATION PEOPLE DONT TRUST EACH",,
100216,29,2,2,U,2,2,1,2,2,4,2,4,2,2,2,1,1,2,1,1,2,2,1,2,1,1,1,1,,,,,1,,9,4,2,3,1,5,7,,,,,,,,2,2,2,2,1,2,2,2,1,,,,,2,1,2,,2,9,3,1,1,,1,1,1,2,1,1,1,1,2,1,,,,,3,,1,1,2,2,2,3,3,1,86,6,2,1,,,,,,1,1,4,10,1,1,1,1,2,1,2,2,3,,,,
100220,47,4,3,U,2,2,1,2,2,4,4,4,4,1,2,1,1,1,1,1,2,2,2,2,1,1,2,2,1,4,2,,2,1,1,4,3,4,1,5,7,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,2,1,1,,3,3,1,,1,,88,4,4,3,4,1,1,2,2,2,9,99,,,1,,2,2,2,2,3,2,3,2,99,5,2,1,,,,,,2,2,9,3,1,2,1,1,2,1,1,,,,TAKE THIS COUNTRY DOWN. ELIMINATE ALL RIGHTS OF THE PEOPLE. TO GO TO NON- DEMCRATIC PARTY. GOVERNMENTS WANTS TO CONTROL EVERYTHING AND EVERYBODY,,
100230,36,2,1,S,2,1,2,2,4,3,3,4,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,,,,,9,,1,3,1,2,2,5,,,,,,,,,2,2,2,2,1,,,,,1,2,1,2,2,1,,1,1,2,3,2,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,32,3,2,1,,,,,,10,,5,3,3,5,2,,,,3,3,3,,,,
100234,48,2,3,S,2,2,1,2,3,4,4,4,3,1,2,2,1,2,2,1,2,2,2,1,1,2,9,2,1,4,,,2,2,1,4,3,2,1,6,7,,,,,,,2,2,2,2,2,1,1,2,3,2,,,,,2,2,1,,9,3,3,1,1,,1,1,2,1,1,2,3,3,1,1,,,,,1,,1,1,2,1,1,2,3,2,65,6,2,1,,,,,,2,2,3,10,1,2,1,1,2,1,2,2,3,,JUST TRYING TO FIND OUT INFO ON PEOPLE.,,
